product_id,category,total_revenue,revenue_percentage,cumulative_revenue_pct,abc_classification,management_strategy
P0133,Clothing,11044694.86,3.754906,3.754906,"A - High Value","Daily monitoring, tight controls"
P0061,Clothing,10898967.11,3.705362,7.460268,"A - High Value","Daily monitoring, tight controls"
P0066,Clothing,10886381.16,3.701083,11.161351,"A - High Value","Daily monitoring, tight controls"
P0178,Clothing,10775112.29,3.663255,14.824605,"A - High Value","Daily monitoring, tight controls"
P0046,Clothing,10768865.79,3.661131,18.485736,"A - High Value","Daily monitoring, tight controls"
P0187,Clothing,10757701.15,3.657335,22.143072,"A - High Value","Daily monitoring, tight controls"
P0125,Clothing,10641654.03,3.617882,25.760954,"A - High Value","Daily monitoring, tight controls"
P0057,Clothing,10627795.26,3.613171,29.374125,"A - High Value","Daily monitoring, tight controls"
P0016,Clothing,10556372.46,3.588889,32.963013,"A - High Value","Daily monitoring, tight controls"
P0126,Clothing,10467641.20,3.558723,36.521736,"A - High Value","Daily monitoring, tight controls"
P0069,Clothing,10429999.87,3.545925,40.067661,"A - High Value","Daily monitoring, tight controls"
P0166,Groceries,10387575.71,3.531502,43.599164,"A - High Value","Daily monitoring, tight controls"
P0094,Groceries,10141930.51,3.447989,47.047153,"A - High Value","Daily monitoring, tight controls"
P0096,Toys,9458708.77,3.215712,50.262865,"A - High Value","Daily monitoring, tight controls"
P0067,Furniture,9431117.84,3.206332,53.469197,"A - High Value","Daily monitoring, tight controls"
P0083,Toys,9423568.88,3.203765,56.672963,"A - High Value","Daily monitoring, tight controls"
P0079,Furniture,9413388.40,3.200304,59.873267,"A - High Value","Daily monitoring, tight controls"
P0116,Furniture,9393868.55,3.193668,63.066935,"A - High Value","Daily monitoring, tight controls"
P0129,Furniture,9383797.59,3.190244,66.257179,"A - High Value","Daily monitoring, tight controls"
P0017,Toys,9302377.79,3.162564,69.419743,"A - High Value","Daily monitoring, tight controls"
P0153,Furniture,9259355.27,3.147937,72.567680,"A - High Value","Daily monitoring, tight controls"
P0149,Furniture,9221839.22,3.135183,75.702863,"A - High Value","Daily monitoring, tight controls"
P0171,Electronics,9066669.98,3.082429,78.785292,"A - High Value","Daily monitoring, tight controls"
P0031,Electronics,9046210.54,3.075474,81.860765,"B - Medium Value","Weekly monitoring, standard controls"
P0183,Electronics,9038645.39,3.072902,84.933667,"B - Medium Value","Weekly monitoring, standard controls"
P0085,Electronics,8965041.34,3.047878,87.981545,"B - Medium Value","Weekly monitoring, standard controls"
P0175,Electronics,8899248.69,3.025510,91.007055,"B - Medium Value","Weekly monitoring, standard controls"
P0068,Electronics,8883565.19,3.020178,94.027234,"B - Medium Value","Weekly monitoring, standard controls"
P0070,Electronics,8830028.80,3.001977,97.029211,"C - Low Value","Monthly monitoring, basic controls"
P0159,Electronics,8738290.91,2.970789,100.000000,"C - Low Value","Monthly monitoring, basic controls"
